id,student_id,user_id,grade_level,preferred_subjects
1,24320c69-860c-4ac4-9742-3e52281c8c0e,1,12,"[""Mathematics""]"
2,aa377081-f285-4349-a17a-43dc8c693c7a,4,12,"[""Mathematics""]"
